Field	Subfield	In Records	Total
	$d		3
	$e		1
	$z		41097
	$2		506
	$0		357
	$x		6629
	$y		1352
	$v		9086
	$t		1
	$b		12
651		14515	26345
	$a		26345
	$v		11949
	$z		458
	$x		14489
	$y		4373
	$2		401
	$0		227
653		42	71
	$a		124
654		1	1
	$2		1
	$b		3
	$c		4
	$a		1
655		5775	11412
	$b		1
	$c		4
	$a		11412
	$v		5
	$z		2036
	$x		16
	$y		1107
	$2		10670
	$0		202
656		14	15
	$2		15
	$y		1
	$a		15
	$z		24
662		1	3
	$d		3
	$b		3
	$2		3
	$a		3
690		4	4
	$x		3
	$2		11
	$a		11
	$z		4
696		1	1
	$d		1
	$q		1
	$a		1
697		1	1
	$a		1
699		42	42
	$d		40
	$y		1
	$%		42
	$a		42
700		9304	13235
	$c		280
	$a		13235
	$f		38
	$g		1
	$d		6808
	$e		2734
	$3		12
	$x		2
	$4		37
	$5		3
	$s		1
	$p		2
	$q		1845
	$t		584
	$k		5
	$n		1
	$l		6
	$b		6
710		6172	7876
	$c		18
	$a		7876
	$f		15
	$g		6
	$d		96
	$e		1847
	$x		4
	$4		119
	$5		123
	$p		5
	$t		186
	$k		3
	$n		78
	$b		1878
711		123	125
	$c		26
	$a		125
	$t		1
	$d		119
	$e		1
	$n		4
730		957	1001
	$s		3
	$a		1001
	$f		7
	$g		2
	$p		11
	$k		1
	$n		12
	$l		9
740		1723	2023
	$p		3
	$n		5
	$a		2023
752		1119	1214
	$b		1099
	$c		125
	$a		1213
	$d		1188
	$e		1
	$2		4
755		2	2
	$2		2
	$y		1
	$a		2
760		4	4
	$a		2
	$t		3
770		1	1
	$t		1
772		6	6
	$a		6
	$t		6
	$w		10
773		295	297
	$a		67
	$g		266
	$d		48
	$z		1
	$x		99
	$7		256
	$s		4
	$p		1
	$w		244
	$t		277
	$i		4
	$o		3
	$b		1
775		13	19
	$x		1
	$w		35
	$t		19
776		322	336
	$d		190
	$c		66
	$s		3
	$a		175
	$w		290
	$t		205
	$z		6
	$h		1
	$i		207
	$b		22
780		78	81
	$7		1
	$a		28
	$g		1
	$w		76
	$t		67
	$x		3
785		83	88
	$b		1
	$a		22
	$g		1
	$w		105
	$t		82
	$x		7
787		14	14
	$a		2
	$w		16
	$t		8
	$g		1
796		378	542
	$b		2
	$a		542
	$4		320
	$q		43
	$g		19
	$d		270
	$e		171
	$%		3
	$5		1
	$c		12
	$t		1
797		1501	1544
	$b		22
	$a		1544
	$4		86
	$5		1234
	$e		23
799		3	3
	$a		3
	$f		1
800		103	103
	$a		103
	$q		10
	$v		74
	$d		95
	$t		103
	$f		1
	$n		16
810		39	39
	$b		16
	$a		39
	$v		32
	$t		39
	$p		1
830		1822	1854
	$a		1854
	$v		1257
	$p		43
	$t		2
	$n		33
852		1	1
	$b		1
	$c		1
	$a		1
853		1	1
	$m		1
	$8		1
	$a		1
	$l		1
856		1788	1814
	$a		3
	$u		1814
	$z		124
	$y		1437
	$3		246
863		1	2
	$a		2
	$p		2
	$8		2
	$l		2
	$m		2
DIB		1	1
	$c		1
	$s		1
ERR		7	8
	$a		8
G--		1	1
	$2		1
H66		2	3
	$q		3
	$d		1
	$e		3
	$j		3
	$k		3
	$l		3
LKR		1083	1123
	$b		1123
	$v		111
	$a		1123
	$l		1123
PRM		3	3
	$a		3
Z30		35801	39970
	$1		39970
	$R		189
	$S		118
	$P		149
	$Q		307
	$2		39970
	$J		11
	$0		39970
	$H		39970
	$I		146
	$7		15
	$4		16145
	$5		39970
	$B		39970
	$A		39970
	$F		39970
	$p		149
	$w		3997
	$j		4620
	$k		366
	$h		35337
	$i		34862
	$m		78258
	$b		36
	$a		4020
	$f		39970
