,i
L54 1864,1
.A74 1935b,1
.T635 1909,1
.H67 1889,1
K4 2007,1
E4 1878,1
B76 1981,1
P65 1878,1
.G74 1931,1
E58 1981,1
.E678 1911,1
H4 1976,1
.C77 1930,1
.W5675 1915,1
.G53566 1918,1
L66 2002,1
V36 1866,1
.R877 1911,1
.L5559 1900z,1
.B3774 1901,1
.P873 1904,1
.C66549 1906,1
.A43 1984,1
S357 1897,1
.F545 1882,1
E38 1874,1
.B83 1861,1
.N678 1860,1
.A54 1962,1
.L395 1907,1
.L377 1903,1
B766 1946 c.2,1
.C43 1961,1
.N82 no.73,1
.W74 1893,1
.B78 1904,1
.W553 1911,1
.W4337 1836b,1
R67 1891,1
.H86 1973,1
.T74 1913,1
.G633 1906,1
.A465 1929,1
.A735 1895,1
K36 1878,1
H43 1853,1
H57p 1893,1
B755 1946 pt.6,1
.H52 1902,1
.L3634 1938,1
.H3796 1886,1
K5 1980,1
O75 1924,1
.B437 1918,1
P37 1887 c.1,1
.H2 1987,1
.B78 1954,1
.D6845 1894,1
R87 1902,1
W43 1976,1
H57 1882,1
T43 1992,1
.F537 1981 Suppl. 2003 pt.2 c.1,1
.W75 1907,1
D46 1875 Index,1
A8 1904,1
.D4336 1902,1
.T388 1925,1
.L478 1858c,1
.W75 1895,1
.P34 1872,1
N42 1976,1
.A33 1907,1
.A3 1866,1
.R687 1928,1
S35p 1852,1
.C66 1898,1
.M33 1964,1
S5 1908,1
.H33 1888,1
.A15 1857,1
.T75 1889,1
.P66 1938,1
.W5555 1912,1
.F73655 1934,1
.B8887 1971,1
.V36849 1923,1
.H478 1880,1
W4 1905,1
.W64 1941,1
.T738 1903,1
.B4 1873,1
Z2 1842,1
M475 1993 c.2,1
C53 1867,1
R93 1999,1
M43 1820,1
P745 1914,1
.C4477 1893,1
1982,1
A4 1896,1
.H6945 1968,1
.S65 1909,1
.T44 1920,1
.T769 1872,1
.A72 1918 c.1,1
H5786 1952 c.3,1
.S78 1939 c.2,1
A287 1931,1
.L6845 1917,1
.H3884 1843,1
.D5354 1918,1
P37 1986,1
.A23 1916,1
.H65 1836,1
H43 1911,1
B56 1917,1
V35 1890,1
.F3764 1926,1
.H6768 1915,1
T57 2005,1
.B82 1981,1
.M473755 1864 suppl.,1
.B3785 1927,1
.M483 1800z,1
R46 1853 c.2,1
.D848 1964 suppl. I,1
N66 1926,1
.K57,1
.V363765 1913,1
U53 1970,1
L9 1873,1
.C35 1908,1
L49 1991p,1
A36 1975,1
.G83 1988,1
A4 1948,1
.S295 1867,1
.B749 1982 c.6,1
W5 1872,1
.M362 1863,1
T69 1899,1
.P75 2005,1
B3 1893,1
.B352 1919,1
.L647 1913,1
F37 1923,1
H6 1872 c.2,1
.G65 1861,1
S74 1905,1
.T78 1881b,1
.F56 1914,1
.L68 1950,1
.W3575 1910,1
.P5348 1962,1
T43 1919,1
I673 1925,1
.C695 1882,1
S795p 1884 c.2,1
.C35 1882,1
.F35 1887p,1
D45 1874,1
.P76 1905,1
.A6 1865,1
.P88 1839,1
.P4363 1892,1
.B8773 1911,1
.S939 1998,1
S73 1874,1
P37 1950,1
.L3868 1921,1
S73 1973,1
.N49 1945,1
M55 1890,1
B47 1854,1
E27 1873,1
.K8 1965,1
.H3874 1841,1
R43 1896,1
.M33467 1952,1
L66 1900 c.1,1
J36 1885,1
S55 1905,1
.S4533 1927,1
.C8884 1875b,1
.C67548 1913,1
.D64 1975,1
R8 1882,1
.E621 1929b,1
.M27 1989,1
.H74 1921,1
.T764 1926,1
H434 1871 c.3,1
1855e,1
R6434 1949,1
R4 1907,1
.D654 1921,1
.M588 1926,1
.B516 1875,1
.C64 1951,1
.V35 1975,1
.M35 1974,1
.T7446 1884,1
C37 1904,1
C29 1960,1
A3 1828,1
J3 1970,1
A266 1900z,1
.W663 1916b,1
E27 1896,1
.P5385 1887,1
.B47 1985,1
.G332 1894,1
.B878 1887,1
.H5 1699,1
.M86 1902,1
.S11 1847,1
.K76 2010,1
.C443 1848,1
C45 1850,1
.D84 1870,1
.H35 1892,1
A3 1772,1
B54 2012,1
S85 1883 c.1,1
.R64 1902,1
.S5 1892 c.2,1
.T734 1900,1
C48 1911,1
A275 1916,1
.B47 1965,1
B76 1881,1
.F767 1906,1
Q83 1915,1
D7 1939,1
R67 1932,1
S63 1973,1
.M33469 1904,1
.H35569 1924,1
.A2 1894,1
.C5 1893,1
.B742 1924,1
D9 1952,1
.W6 1833,1
.D634 1878,1
.P4375 1860,1
.B6785 1970,1
R63 1938,1
.M4547 1902,1
.V3663 1954,1
L58 1862,1
L54 1909,1
K38 1968 c.1,1
.M474 1900z,1
.T48 1972,1
F63 1884,1
.F5636 1932,1
C8 1799,1
A4 1915,1
.V363765 1912,1
.M63 1984,1
B69 1987,1
S68 1915,1
.W5554 1898,1
R43 1932,1
.S9399 1940,1
.C58 1962,1
.S4377 1890,1
.A33 1892 c.2,1
.C6657 1966,1
.K567 1890b,1
D46 1907,1
P48 1856,1
.P37776 1877,1
M66 1916 c.2,1
.W45 1890,1
.A22,1
P47 1906,1
.B555 1881,1
.W3775 1899,1
P65 1761a,1
A4 1987 c.2,1
.D55 1814,1
.C43677 1872,1
C65 1986,1
.J45 1760,1
B75 1985 c.1,1
.E83 1828,1
.C74 1887,1
.V68 1784,1
.A55 1989,1
R53 1946b c.1,1
L49 1929,1
.W4337 1969,1
C66 1888,1
.D64 1916,1
.T49 1878,1
.C66555 1894,1
.S755 1892 Index,1
.H6767 1883,1
L44 1896,1
.H65565 1911,1
.C73 1965,1
2009,1
.S79 1868,1
.J46 1908,1
.B4477 1928,1
.F794 1968,1
C7 1944,1
.B465 1898,1
.S625 1968z,1
B35 1904,1
.B3785 1855,1
.G6639 1892,1
R63 1932,1
.C67 1897,1
P76 1888,1
.G53554 1973,1
.H477 1908,1
N586 1830,1
H88 1925,1
S77 1908 c.2,1
.W323 1865,1
S63 1916,1
B353 1972,1
.B77 1974,1
S36 c.1,1
.C885 1889,1
.E18 1900b,1
.N38 1960,1
.S774 1896,1
.D596 1922,1
E3. 1900,1
.H37 1981,1
.LK53 1901,1
V5 1908,1
.W3845 1898,1
.F5669 1908 index,1
.D836 1968 index,1
.V56 1904,1
.C5375 1892b,1
.H83 1897,1
.C3779 1909b,1
.E1759 1896,1
.V3674 1888b,1
.A33 1970,1
.B4592 1870,1
.N53 1923b,1
T66 1901,1
.L86 1885,1
P76P 1888,1
F94 1976,1
.R448 1900,1
B53 1910,1
.R8 1929,1
P55 1903,1
R39 1918 c.1,1
S3 1846,1
.H345 1964,1
.S3893 1925,1
.L487 1775,1
.J44 1914,1
.L395 1858,1
.E299 1955,1
.C487 1888,1
.B336 1902,1
.M6775 1994,1
.D873 1965,1
.A135 1898,1
S67 1838b,1
.B364 1856,1
.F855 1958b,1
W7 1904,1
.H337 1916,1
.K76 1889,1
.M17 1928,1
1781,1
.O88 1917,1
E98 1830,1
S4 1919,1
P5 1949,1
.N4 1939,1
P57 2002,1
G2 1906,1
F35 1899,1
.C87746 1942,1
.S66 1800z,1
.S548 1941,1
.R6876 1960,1
M32 1972 c.2,1
.C5375 1908,1
.G56 1979,1
.C8739 1856,1
.O94 1914,1
U53 1900,1
.J3 1969,1
.P53474 1868,1
.B6783 1872,1
.G734 1866,1
.H854 1985,1
O47 1934,1
.K94 1982 c.2,1
.V667 1932b,1
.G98 1922,1
.S5334 1941,1
.S346 1885,1
C69p 1959,1
.H29 1896,1
.T74 1874,1
.A554 1929,1
B763 1863,1
.J35 1911,1
.D4895 1927,1
.A36 1917 c.2,1
A3 1999,1
.C6758 1925,1
.W3566 1918,1
.P73 1911,1
352 1900z,1
S63 1945,1
.P4336 1868,1
S63 1893,1
.L694 1972,1
.S7683 1951,1
.P694 1880,1
.O946 1910,1
.J27 1970,1
.N44 1931,1
.T568 1851,1
G65,1
.G5356 1869,1
R44 1932,1
B83 1987 c.2,1
T75 1882,1
",S95 1913",1
P743 1957,1
.R87 1974 c.1,1
E35 1905,1
.B76 1972,1
F58 1996,1
.J2 1903,1
.A28 1653,1
.B76 1975,1
M46 1891,1
.T4739 1896,1
S9 1878,1
.C68 1929,1
.H3556 1949,1
S23 1906,1
R46 1844,1
.S78744 1914,1
.E46 1967,1
B48 1876,1
.S8 1900,1
1850 E37 1932,1
T37 1900z,1
.W6655 1963,1
.N98 1927,1
I56 1885,1
.M327385 1880,1
.P43346 1917,1
.U5 1902,1
.S3975 1891,1
.H9347 1909,1
.B677 1896b,1
H2 1893,1
.B3736 1927,1
.E33 1960 c.1,1
.T475 1922,1
.L367 1916,1
.B3793 1953,1
.P43358 1969,1
.N5354 1940,1
.M35 1839,1
.F867 1926,1
.R447 1904,1
I644 1929,1
N58 1896pb,1
.C68 1868,1
.F7 1888,1
.C69 1919,1
.U53 1926,1
.H6787 1861 c.1,1
.L675 1917,1
N5 1881 c.2,1
.N696 1907 c.1,1
A23 1894,1
.H3954 1876,1
.A336 1901,1
.H3938 1880,1
.M3438 1904,1
J8 1893,1
.A4 1903,1
.M66 1876,1
.G66375 1915,1
.S53453 1855,1
.B35 1917,1
.S9592 1864,1
.F53894 1911,1
.H39565 1902b,1
.C437 1862,1
.C6734 1937,1
D49 1937,1
N46 1974,1
L47 1975,1
.G76 1921,1
.V3666 1926,1
D68 1979,1
K55 1885,1
.E3373 1952,1
P35 1845,1
.M47 1935,1
.F537 1981 Suppl. 2000 pt.2,1
.H8834 1982,1
.N454 1929,1
S55 1992,1
.C525 1860,1
.G754 1888,1
.S3975 1882,1
.P397 1912b,1
.T7 1941,1
P74 1854,1
.H354 1899,1
U6 1988 Index,1
.K497 1914,1
.K4556 1898 suppl.,1
M35 1984,1
W37 1881,1
N56 1861,1
.R587 1893,1
.P79 1895,1
R44 1878,1
H57 1882 c.2,1
.D398 1913,1
.M36 1986,1
.A1 1891,1
.P76 1871,1
A315 1995,1
L47 1954,1
.A88 1871,1
C57 1894 c.2,1
.S55 1903,1
.W28 1860,1
K74 2015,1
V35 1887,1
O97 1976,1
.N457 1929,1
.D85 1965,1
.W4636 1859,1
.S5334 1965,1
.L3647 1926,1
N78 1975,1
.A8 1928,1
.W663 1900z,1
.B64 1846,1
T96 1863,1
.A6 1877b,1
.S737 1880,1
.T34 1891,1
O81O6 1934,1
B76 1990,1
.C3779 1970z,1
S77 1883 c.3,1
M46 1897 c.2,1
S722 1915,1
.W5685 1883,1
.M342 1901,1
J66 1891,1
.B3 1929,1
.W57 1907 c.1,1
L68 1899,1
.A84 1891,1
.I53 1888,1
.S479 1775,1
P56 1970,1
H37 1927,1
.R7 1910,1
C69 1903 c.2,1
C97 1907,1
T4 1929,1
.L489 1895,1
.H83 1885,1
.B43 1917,1
.S7476 1897,1
P59 1873 c.1,1
M68 1924,1
.B42 1852,1
I5 1906,1
J64 1888,1
.C37 1878,1
D9 1961,1
.S43 1954,1
H53 1959,1
.W565 1881,1
.C8665 1915,1
.R3967 1946,1
.H45 1941 c. 1,1
W67 1901,1
.A3 1846 c.1,1
.A554 1935,1
E4 1921,1
F75 1976,1
G3 1938,1
.R6356 1800z,1
.F74 1865 c.1,1
.N49 1961,1
E47 1886,1
W33 1847,1
E39 1914,1
.W39 1902,1
A2 1945,1
R46 1826,1
.B42 1950,1
.C66586 1897,1
A286 1907,1
.H37757 1880,1
.H63 1868,1
H353 1904,1
R3 1875,1
.P34 1902,1
.S77 1767,1
.S549 1921 Suppl.,1
S67 1855,1
.L62 1794,1
M86 1985,1
.G868 1878,1
.C433 1903,1
O79 2011,1
.L82 1926,1
A3p 1876,1
.S7336 1920,1
N61 1881,1
.F4556 1926,1
.S42 1845,1
R6 1871,1
.V377 1917,1
.R85 1777,1
C455 1895,1
.D4336 1849,1
.N4 1947,1
.D644 1916,1
.H853 1924,1
.T743 1931,1
T47 1961,1
.W5576 1938,1
.B888 1898,1
.C6 1813,1
.L395 1943,1
F74 1894,1
.H83 1968,1
.R356 1886,1
.G855 1918,1
.D373 1908,1
E3 1943 c.1,1
M48 1881,1
B58 1902,1
.L38 1947,1
.C4577 1933b,1
N54 1972,1
.C6 1839,1
St2437 1920,1
.H3954 1929,1
F35 1951,1
R48 1880,1
A22 1974,1
W34 1896,1
.P42 1931,1
L5 1874,1
",S64 1852",1
.Y35 1850,1
.W56 1864,1
.O4 1866,1
.K547 1871,1
.S9 1878,1
.M557 1933,1
.B5224 1905,1
L673,1
.B3792 1912,1
.H698 1939,1
G55 1971,1
K56 1891,1
N562 1926,1
.L56 1953,1
F76 1859,1
.W55 1852,1
.C37 1918,1
T96 1851,1
K46 1851,1
.L666 1875,1
M33 1985,1
.M6857 1920z,1
A33 1894,1
T48p 1973,1
S44 1923,1
.S7484 1881,1
.K54653 1897b,1
.A554 1876,1
.C45 1903,1
.M4 1910,1
.A42 1978,1
E17 1974,1
.B7525 1899,1
.O36 1883,1
.L87 1967,1
.P59 1864 c.2,1
H37 1947,1
F57778 1866,1
.P385 1902,1
.G483 1909,1
.B76 1913,1
L39 1900z,1
.N82 no.32,1
.T395 1933,1
R44 1918,1
M35 1912,1
.W56347 1894,1
P46 1927 c.2,1
.M66 1895,1
M53 1892,1
R43 1931,1
.B436 1956,1
S8 1864,1
.B6774 1970,1
.T4765 1933,1
.B379 1907,1
J35 2007,1
.B77 1959,1
N58 1988p,1
.G76 1853,1
.G3738 1905,1
.H58 1930b,1
C5 1890,1
.B337 1865,1
P87 1907,1
.B372 1908,1
.S7476 1835,1
.L666 1870,1
.P43589 1948,1
I576 1924,1
C47 1865,1
P59 1859 c.3,1
.E936 1893,1
C37 1866,1
M37 1998,1
C63 1818,1
S66 1984 c.3,1
R46 1889,1
F73 1959,1
B85 1985,1
C48 1896 c.2,1
.C739 1939,1
.A88 1951,1
F44,1
R42 1983,1
F57 1883,1
M449 1923,1
N58 1889,1
.N7 1849,1
.S82 1969,1
H57 1913,1
.M65 1975,1
B37 1959,1
.B3545 1915,1
C66 1927,1
.F678 1935,1
.P43345 1976 c.1,1
E44 1901,1
.S278 1886,1
.L6359 1889,1
P5962 1886,1
.E936 1929,1
.L14 1625,1
.B5557 1996 c.2,1
.L3785 1992,1
.P58 1916,1
S52x 1793,1
.E45 1850,1
.C69374 1911,1
1986,1
S47 1847,1
H69 1912,1
H27 1950,1
R44 1849,1
Y68 1932,1
.I54 1890,1
.D6338 1940,1
L34 1997,1
.V36 1870,1
.G633 1935,1
.E2477 1879,1
.D46 1904,1
.B8885 1890z,1
.M32678 1926,1
2000,1
.C5375 1902,1
.S549 1921,1
.E936 1906,1
K56 1883,1
.W4378 1919,1
D66 1964,1
.C76 1964,1
.J56 1885 c.2,1
.M355 1891,1
.S56 1957 c.1,1
.B38 1900,1
.S73 1767,1
.G74465 1896,1
.B866 1928,1
.M75 1858,1
.N56 1914,1
.M473956 1909,1
T9 1921,1
I85 1913,1
.D398 1906,1
S33 1886,1
.B4 1862,1
B79 1979,1
.H64 1825,1
.P6857 1874,1
.F5366 1948,1
.C436 1907,1
.R486 1928b,1
.B44 1895,1
.T565 1935,1
.C73 1900,1
F576 1859,1
.C7477 1877,1
.Y38 1926,1
B65 1832,1
.K47 1982,1
.W43783 1932,1
L36 1930,1
.B63 1902,1
F548 1936,1
W66 1845,1
.A853 1927,1
.B3796 1902,1
B39 1967 c.2,1
F56 1901,1
S7716 1998,1
.H3954 1932,1
.W663 1923,1
.H37757 1882,1
O425 1978 c.2,1
.H35 1784,1
I58 1909,1
.W4363 1904,1
.M33469 1939,1
C66 1905,1
.T395 1800zb,1
.K97 1930,1
.W76 1970,1
1953,1
F375 1899,1
.M6637 1952,1
I53 1931,1
.P34 1917b,1
H37 1889 c.2,1
A43 1924,1
.H6787 1928,1
.O46 1924,1
.G74 1916,1
C53 1883,1
.D49 1932,1
S63 1895,1
.S38 1989,1
S26 1931,1
S67 1882,1
.W565 1998,1
.M33 1874,1
.F534 1874,1
R873 1908,1
.B66 1860,1
.H362 1916,1
D3 1903,1
.T96 1956,1
S74 1873,1
S65 1931,1
.H362 1913,1
W93 1945,1
.G5333 1894,1
C66 1992,1
.W5633 1905,1
L9 1989,1
E27 1843,1
R63 1888,1
M87 1866,1
B373 1928,1
B28 1929,1
.N49 1976,1
.B6 1922,1
.Z55 1973,1
.M328384 1925,1
M43 1871,1
I577 1927,1
.N4 1942,1
S44 1931,1
.G4776 1912,1
.S625 1954,1
.P953 1747,1
.B7 1907,1
A247 1953,1
F6 1903,1
D83 1943,1
A65 1900z,1
.C85 1863,1
.P7563 1984,1
.W46 1807,1
.B736 1884,1
C67 1968,1
A2 2002,1
.E563 1920,1
B5 1895,1
.T4765 1887b,1
S27 1931,1
.L29 1973,1
O45 1940 c.1,1
.D3 1971,1
.L77 1862,1
R85 1919,1
.D69657 1946,1
B38 1898,1
.U55 1999 c.1,1
.H36275 1920,1
.C853 1893,1
.J29 1937,1
N49183 1889,1
C66 1995,1
A265 1912,1
S77 1908 c.3,1
P68 1793,1
.H3 1876,1
O43 1905,1
.L395 1932,1
P98 1859,1
.F87 1851,1
.B58 1964,1
A79 1989,1
.G6636 1916,1
.B455 1900z,1
K47 1984,1
I579 1900z,1
N49 1854,1
T45 1937,1
N38 1987,1
.F53556 1888,1
.W344 1897,1
S43 1940 c.2,1
.S67374 1892,1
P5 1953 c.1,1
.S625 1891b,1
.R677 1884b,1
T66 1904,1
.P5336 1928,1
S67 1863,1
F5792 1939,1
E44 2010,1
.I33 1973,1
H6 1909,1
D36 1847,1
.H37 1900,1
.D64 1880,1
.A15 1906,1
R65 1983,1
.D5355 1913,1
H35 1952,1
T8 1924,1
.V42 1826,1
.M35746 1953,1
H69 1890 c.2,1
.R36 1905,1
G58 1935,1
.S58 1945,1
D67 1902,1
.A89 1928,1
.W37 1976 c.3,1
W66 1965 c. 2,1
F67 1867,1
Q35 1895,1
A44 1899 c.2,1
.B47 1859,1
.G85 1966,1
.S753 1925,1
.B5155 1884,1
.T878 1924,1
.B75 1770b,1
A221 1949,1
T78 1973,1
.H4376 1912,1
.H378 1970,1
.B36 1932,1
.K57 2017,1
.H36266 1895,1
C88 1895,1
.W457 1971,1
.S53 1972,1
.B4389 1956,1
T78 1867,1
.B68 1975,1
.S396 1971,1
.T666 1947,1
C66 1956,1
.M4774 1800z,1
.B87 1876,1
.B733 1867,1
K76 1955,1
H65 1938,1
.B883 1849,1
.G7368 1869 c.2,1
.W4664 1890,1
M46 1869 c.2,1
P62 1917,1
.P95 1953 c.2,1
K35 1973,1
.N678 1930,1
.H57 1898,1
.E353 1917,1
O34 1891,1
.H37973 1870,1
.S2744 1931,1
L55 1842,1
.L43 1776,1
A2744 1943,1
S25 1846,1
.N41 1871,1
.F6857 1900,1
.P3754 1927,1
.C4 1885,1
B35 1969,1
.H8 1898,1
H62 1975,1
.T566 1900,1
F74 1993,1
.M23 2006,1
.C6734 1914,1
A5 1899 c.2,1
.B776 1884,1
B88 1975,1
.V667 1932,1
M46 1874,1
H56 1992c,1
Z56 2011,1
.M473758 1914,1
.R6356 1837,1
N58 1911,1
M37 2005,1
I53 1895,1
.N53 1894,1
S49 1939,1
.N67 1939,1
A33 1917,1
W35 1893,1
.F44 1901,1
.A181 1759,1
M87 1855,1
.S5354 1930,1
.W15 1975,1
.H633 1951,1
.K445 1939,1
Y69 1907,1
.B3545 1881,1
.U47 1912,1
.S74 1876,1
.B5156 1962,1
.S2744 1922,1
.W37 1976 c.2,1
M47 1997,1
S42 1821,1
S56 1934,1
.S765 1903,1
T6 1876,1
B76 1935,1
J86 1879,1
C67 1989,1
.L69 1932,1
.D3 1924,1
.D86 1863,1
.E92334 1970,1
.L4685 1937,1
.O247 1931,1
.W2,1
A3 1966 c.2,1
K56 1958,1
.F5374 1942,1
.M885 1967,1
.G65 2019,1
J66 1848,1
W43 1958,1
O6 1895,1
.C66 1946,1
.H934 1937,1
.C37767 1967,1
.J3 1972 c.2,1
.J46 1800z,1
.V36353 1942,1
A43 1889,1
.P5348 1922,1
N5 1811b,1
.S6 1904,1
L33 1980,1
S47 1850,1
.H8683 1895,1
.C6447 1890,1
.T35 1876,1
O43 1888,1
.D655 1990,1
B378 1873,1
H56 1933,1
L37 1956,1
L54 1875 c.2,1
.K497 1880,1
.M566 1914,1
.B375 1900,1
.R535 1895,1
.S625 1889b,1
.M3536 1950,1
.L36 1801,1
P8 1882,1
.B87 1899,1
P38 1899,1
A25 1898,1
B87 1969,1
.P76 1890 c.2,1
.B5224 1913,1
.P46 1896,1
.T696 1901,1
B75 2003,1
H58 1873,1
G6 1965,1
M46 1834,1
.W5533 1937,1
R38 1938,1
.P756 1888,1
.A548 1914,1
.B335 1933,1
.B3545 1928,1
.S6588 1905,1
S25 1952,1
.B78 1974,1
.R588 1900z,1
E55 1931,1
.L22 1818,1
L665 1860,1
.M38 1944,1
.C53757 1890,1
H34 1917,1
.G583 1897,1
.B661 1925,1
K5 1888,1
B37 1905,1
.V3664 1960,1
.W54 1900,1
.D33 1888,1
.B7 1918,1
S65 1880,1
.R535 1851,1
.S4 1817,1
.P955 1900z,1
G63 1968 c.2,1
.M76 1671,1
.W373 1862,1
T68 1984,1
A2 1976,1
S45 1885,1
L69 1919 c.2,1
.M3255 1895,1
I58 1858,1
.W384 1931,1
E93 1916,1
.M3278 1911,1
.B5 1958,1
O6 1881,1
.C6313 1864,1
.L56 1923,1
.C438 1928,1
I53 1890,1
.M64 1909,1
.H4776 1916,1
A2 1898,1
.A27 1907,1
V3 1923,1
.T376 1884,1
.D4 1974,1
.P84 1915,1
T43 1845,1
.M33 1930,1
.K54 1956,1
.R6747 1940,1
.M8773 1940,1
.B5557 1996 c.1,1
.G467 1906,1
W552 1870,1
S75 1931,1
.W55 1898,1
.H3544 1886,1
.F7 1721,1
.M6637 1900,1
.N4936 1937,1
.M65 1862,1
R67 2009,1
.M32379 1900z,1
J46 1900z,1
R356 1856,1
.M66 1973,1
.B87543 1935,1
R6 1914,1
P37 1857 c.1,1
P29 2010,1
.G3558 1893,1
S56 1926,1
.G535556 1897,1
.G344 1889,1
.C654 1920,1
.R8847 1925,1
.R63 1938,1
M55 1842,1
N592 1987,1
A5 1895 c.2,1
S6 1963,1
P65 1940,1
N44 1923,1
.J83 1884,1
M85 1963,1
.J646 1939,1
.E43557 1893,1
.R3636 1934,1
.S7335 1907,1
.A874 1949,1
.M4547 1901,1
.M87 1884 c.2,1
.B44 1911,1
C48 1922 c.1,1
I5745 1910,1
.Z5 1967 c.2,1
.B667 1915,1
S26 1970z,1
.M333 1912,1
.T663 1932,1
R82 1874,1
.M32366 1897,1
C5 no.7,1
.R3633 1848,1
.N43 1915,1
R55 1904 c.3,1
.S625 1937b,1
.P53474 1854,1
R85 1830,1
C56 1852,1
.T63 1900z,1
.G3847 1921,1
.B8 1849,1
B3 1866,1
.S7736 1915,1
.L484 1856,1
A7 1916,1
M63 1908,1
.B87 1847,1
O87 1973,1
.C697 1944,1
.S766 1853,1
.S546 1931 c.1,1
M48 1933,1
.M38 1900b,1
.B44 1889,1
.L673 1945,1
.H37 1917,1
N37 1859,1
.E38 1828,1
.U54 1900b,1
G55 1923,1
D29 1863,1
B46 1988,1
C66 1871,1
.D357 1878,1
.W356 1902,1
.V476 1882,1
.K66 1774,1
.W43555 1962,1
L96 1886,1
.M14 1964,1
.C83 1902,1
.A2 1897,1
.M336 1961,1
N4 1930,1
M3 1961,1
.H6589 1936,1
.V3647 1900z,1
H46 1972,1
M66 1932,1
F8 1924,1
.A4 1844,1
H28 1975,1
P47 1921,1
1933,1
.S494 1904,1
.K5488 1936,1
.B6 1897,1
W9 1914,1
.W5553 1879,1
N49 1930,1
A4 1971,1
.A28 1890z,1
.J646 1891,1
.V367 1844,1
.O41 1927,1
I6 1904,1
.G52 1902,1
M55 1914,1
.B694 1951,1
.Z83 1988,1
.R3633 1906,1
.F53 1880,1
G744 1939,1
.K4647 1915,1
.D634 1879c,1
.B3956 1914,1
.B48 1842,1
O8 1885,1
I67 1915,1
.P3755 1883,1
C76 2002,1
.D84 1867,1
B88 1943,1
.W43558 1948,1
.M43 1813,1
.F3775 1964,1
P59 1856,1
.B66 1862,1
.E936 1898,1
L66 1967,1
D36 1965,1
.H6564 1929,1
R68 1992,1
.Z48 1914,1
B46 1970p,1
C36 1938,1
.R448 1930,1
.H36263 1881,1
.M3293 1954,1
.B3553 1911,1
L48 2009,1
L54 1850,1
.S53678 1900,1
.T37 1899,1
O88 1897,1
.S7683 1897,1
.G37 1973,1
.D67749 1898,1
L56 1900z,1
N53 1989,1
B45 1903,1
.C93 1877,1
.H64 2008,1
.B63 1849,1
.P4385 1923,1
P74 1880,1
.B76 1986 c.1,1
I57 1913,1
.R6335 1897,1
.W55 1942,1
A289 1907,1
N47 1978,1
.C5375 1923,1
.T34 1995,1
P55 1886,1
.M3235 1943,1
P747 1886 c.2,1
U65 1937,1
.H66,1
W8 1824 c.2,1
A3 1892,1
A1 1905,1
B75 1914,1
L474 1981,1
.B7 1983,1
.W35 1918,1
.O96 1872,1
W47 1928,1
F575 1888,1
U5 1971,1
.F665 1927,1
.E247 1896,1
H8 1853,1
.D38576 1958,1
W42 1978,1
.E53 2005,1
H466 1914,1
.S41 1845,1
.G757 1908,1
.L395 1914,1
.S5347 1953,1
.B3887 1910,1
.W673 1925,1
.B8 1914,1
C53 1876,1
.M33466 1903,1
H61878,1
.B556776 1870,1
N58 1919 c.2,1
.W663 1913,1
.G13 1648,1
W82 1913,1
B463 1982,1
.D745 1924,1
T66 1969,1
R39 1870 c.2,1
S77 1842,1
.B44 1934 c.1,1
.B4855 1917,1
W44 1955,1
M36 1890,1
F73 1908,1
.D634 1886,1
S54 1969,1
.I55 1776,1
.A13 1899,1
.B87 1900,1
.F6347 1909,1
C43 1904,1
.H564 1812,1
.I53 1941,1
.R57 1883 c.1,1
.S496 1965,1
.N457 1900z,1
.D465 1924,1
D53 1945,1
.B3 1926,1
.H385 1869,1
.A27 1793,1
.G85 1890,1
.L3643 1935,1
.L53 1871,1
M377 1939,1
.A62 1922,1
.C387 1936,1
.L96 1902,1
.B682 1905,1
D86 1969,1
.C45p 1845,1
1910,1
.V32 1938,1
L38 1973,1
.S783 1967,1
A76 1997,1
I865 1998,1
.T1739 1933,1
.H855 1800z,1
.M66 1893 c.2,1
D66 1999 c.3,1
.S77664 1848,1
.B383 1902,1
.A98 1903,1
S26 1870,1
.B8776 1952,1
.T53 1872,1
.E2477 1937,1
.H665 1890b,1
.S625 1948,1
.H3959 1879,1
.M5554 1945,1
.B5155 1920,1
B87 1914,1
F58 1949,1
C439 1938,1
.W5553 1940,1
.K28 1706,1
.D497 1900,1
C66 1853,1
.S66 1889,1
.K4 1868,1
H352 1904,1
.P4372 1940,1
.M473956 1963,1
.L23 1958,1
.W545 1939,1
F36 1848,1
.G688 1912,1
.M327375 1887,1
.G53555 1918,1
.M327376 1884,1
.O66 1917,1
S48 1883,1
.G35 1873,1
D6 1908,1
.S748 1907,1
.L688 1942 c.2,1
.G7384 1931,1
P6 2008,1
.H83 1891,1
.B7 1883,1
.P4 1966,1
D84 1893,1
.W5553 1913,1
.C68378 1915,1
.S85 1865,1
S63 1930,1
.H62 1969,1
.R878 1909,1
.G674 1896,1
.C7454 1901,1
.S625 1870,1
.K4554 1924,1
.S3973 1855,1
.W34 1969,1
A23 1904,1
N38 1971,1
H66 1881,1
.A3 1886,1
.N67 1896,1
.D764 1908,1
.H39565 1961,1
B53 1981,1
.W4363 1933,1
N58 1973pc,1
.K54653 1896,1
.C6354 1931,1
S443 1880,1
I574 1907,1
.P4553 1886,1
W45 1909,1
.H38 1879,1
.S53378 1929,1
.P674 1934,1
P53 1857,1
.V288 1914,1
R63 1954 c.1,1
A3 2016,1
.D17 1911,1
.G3733 1800z,1
A33 1857c,1
B44 1875,1
