,4
reclass from Vit Rec CT Stamford;,7
reclass from NYC F3985;,7
reclass from NYC Coll.;,7
reclass from NYS B39 B3905;,7
reclass from L.I. Ea77 Ea775t;,7
Reclass from Folio;,6
Reclass from Upstairs CT275 .B4343 B47 1887;,6
reclass from Census Vermont 1850 Addison County;,6
reclass from Vit Rec NC;,6
reclass from Vit. Rec. NYS Newark;,6
reclass from NYS M2255;,6
Reclass from LI;,6
reclass from Vit. Rec. NYS Nine Partners;,6
reclass from NJ;,6
reclass from geneal. W;,6
reclass from Vital records;,6
reclass from Vit. Rec. NYS Herkimer;,6
reclass from Geneal. M;,6
reclass from L.I. Se945;,6
Reclass from Vit Rec NYS Saratoga Co.;,6
reclass from vit rec nys rockland co.;,6
Reclass from NYC C3865s;,6
Reclass from Vit Rec Hempstead;,6
Reclass from LC stacks no call number;,5
reclass from Vit. Rec. NYS New Rochelle;,5
reclass from Vit Rec NYS Montgomery Co.;,5
reclass from geneal. At931a;,5
reclass from geneal. Sh625s;,5
reclass from NYC Collection;,5
reclass from Z1251.A2 R35;,5
reclass from L.I. G5 1909;,5
reclass from Vit. Rec. NYS Oblong;,5
reclass from Vit. Rec. NYS Peekskill;,5
reclass from Am. Rev. W5555;,5
reclass from R/A D3695;,5
reclass from NYS Ea7 Ea775;,5
Reclass from PR;,5
reclass from Vit Rec NYS Carmel;,5
reclass from Black Hist. C2965;,5
reclass from Vit. Rec. NYS Marbletown;,5
Reclass from BX5918.L8 A1 1889 (in container with other sermons);,5
Reclass from Folio NYC;,5
reclass from CS71.C487 1951;,5
reclass from SI L5465;,5
reclass from NYS H87 G8345;,5
Reclass from Hered Soc DAR;,5
reclass from vit rec nys dutchess co.;,5
reclass from Vit Rec NYS Mohawk Valley;,5
Reclass from Geneal.;,5
reclass from NYS L6385;,5
reclass from NJ D6596 Series2;,5
reclass from Vit Rec NYS Cazenovia;,5
reclass from Vit Rec CT Westport;,5
Reclass from Geneal. O;,5
reclass from E494.U55;,5
Reclass from R/A E93 .E91 1829;,5
reclass from Vit. Rec. NYS Manheim;,5
reclass from Vit. Rec. NYS New Prospect;,4
reclass from Vault B9175;,4
reclass from Am. Rev. Sp265;,4
reclass from NYS AL13 M9275c;,4
reclass from Vit. Rec. NJ Paramus;,4
reclass from Vit Rec NYS Warren;,4
reclass from Vit Rec NYS Dutchess Co.;,4
reclass from Vit Rec PA York;,4
reclass from Vit. Rec. NYS Mahopac Falls;,4
reclass from Census Texas 1850;,4
reclass from Vit. Rec. NYS Hortontown;,4
reclass from Vit Rec NYS Cayuga;,4
reclass from Black Hist. D7185;,4
reclass from Vit. Rec. NYS Guilderland;,4
reclass from NYS F55150;,4
reclass from Vit Rec NYS Ontario Co.;,4
reclass from Vit Rec NYS Chenango Co.;,4
reclass from Vit. Rec. NYS Poughkeepsie;,4
reclass from Vit. Rec. NYS High Falls;,4
reclass from NYS H87 R3335;,4
reclass from Vit. Rec. NYS Lafayette;,4
reclass from geneal. V;,4
reclass from Queens R5485ps;,4
Reclass from Vit Rec NYS Shrub Oak;,4
reclass from Vit. Rec. NYS Putnam Co.;,4
reclass from Vit Rec CT Noroton;,4
reclass from Vit Rec NYS Colonie;,4
reclass from L.I. N1875;,4
reclass from NYS B86 H5525;,4
reclass from Am. Rev. So835;,4
reclass from F129.B7 O8;,4
reclass from Vit Rec CT Berlin;,4
Reclass from Queens;,4
reclass from L.I. R7335 1902;,4
Reclass from Vit Rec NYS Rhinebeck;,4
reclass from vit. rec. nys stone ridge;,4
reclass from Queens Un3505;,4
reclass from CS71.R386 1943;,4
reclass from Vault T7714c Box 18;,4
reclass from NYS W522 F8875;,4
reclass from Geneal. T;,4
reclass from Vit. Rec. NYS Greene;,4
reclass from Vit Rec NYS Tioga Co.;,4
reclass from Vit Rec MA Holliston;,4
reclass from Am. Rev. An268;,4
reclass from NJ L5116n;,4
reclass from vit rec nys delhi;,4
reclass from Vit Rec CT Darien;,4
reclass from Vit Rec CT Norwalk;,4
reclass from Geneal. S;,4
reclass from CS419.W82;,4
reclass from Vit. Rec. NYS Farmers Mills;,4
reclass from NYS G28 D7425;,4
reclass from Vit Rec NYS Utica;,4
reclass from Vit Rec NYS Amawalk;,4
Reclass from HT168.N5 C68;,4
Reclass from Vit Rec NYS Staten Island;,4
reclass from Vit. Rec. NYS Plattekill;,4
reclass from Am. Rev. F5475;,4
reclass from Geneal. B31891g;,4
reclass from Vit. Rec. NJ Shrewsbury;,4
reclass from NYS V3225;,4
reclass from NYS R58 F7615;,4
reclass from NYS Oc15 1850;,4
reclass from closed stack no call #;,4
reclass from Vit. Rec. Flatbush S;,4
Reclass from Vit Rec NYC;,4
reclass from Vit. Rec. Huntington;,4
reclass from NYS AL135 AL135;,4
reclass from L.I. Ea77 R5485;,3
Reclass from R/A J7285;,3
Reclass from HeredSoc;,3
Reclass from vit rec nys rensselaer co.;,3
reclass from Vit Rec NYS Broome Co.;,3
Reclass from Amer. Rev.;,3
Reclass from R/A W8505;,3
reclass from L.I. B1545L;,3
reclass from E184.J5 M217;,3
reclass from Vit. Rec. CT Stafford;,3
Reclass from Geneal. P2235pwt;,3
Reclass from Vit Rec NYS Tarrytown;,3
reclass from CS414.G3;,3
reclass from Vit Rec NYS Binghamton;,3
reclass from NYS C4265;,3
reclass from Vit Rec NYS Between the Lakes;,3
reclass from Vital records NYC;,3
reclass from PZ3.C355 In;,3
reclass from geneal. T9715b;,3
Reclass from F129.B7 B76;,3
reclass from stacks no call #;,3
Reclass from Vit Rec NYS Quaker Hill;,3
reclass from NJ M5843 W1548;,3
reclass from NYS T75 H3335;,3
reclass from new books box 9;,3
Reclass from S. I.;,3
Reclass from Vit Rec NYS Montgomery Co.;,3
reclass from BX5995.M44 T69;,3
reclass from Arts B5 W2465g;,3
reclass from E263.G3 M232;,3
reclass from NJ Or1002 P6154;,3
reclass from L.I. B79 B7915 1930;,3
reclass from L.I. 7285;,3
reclass from Am. Rev. B2218;,3
reclass from PS88.L5;,3
reclass from NYS M1795;,3
reclass from E468.C29;,3
reclass from CS71.F695 1968;,3
reclass from geneal. Sm185u 1934;,3
reclass from NYS N81 L2365;,3
reclass from Vit Rec MA Sandisfield;,3
Reclass from Vit Rec NYS Guilderland;,3
reclass from geneal. P3166p;,3
reclass from PZ3.R519 Man;,3
Reclass from Geneal. D;,3
Reclass from Exhibition Box 2;,3
reclass from Vit Rec NYS Van Hornesville;,3
reclass from Vit Rec CT New Canaan;,3
reclass from NYS N4208 M1325;,3
reclass from NYS B51 Se885;,3
Reclass from Geneal. D6775;,3
reclass from Vit. Rec. CT Ridgefield;,3
reclass from Vit. Rec. NYS Hurley;,3
Reclass from Upstairs Fol. Bklyn St995;,3
reclass from Queens J2205;,3
reclass from Arts A4 Sm574;,3
reclass from Arts A1 D9215;,3
reclass from newbooks 14;,3
reclass from L.I. R7335 1903;,3
reclass from NYS C39 D7595;,3
reclass from Am. Rev. G8755;,3
reclass from E263.V8 B9;,3
reclass from Vit Rec NYS Tompkins Corners;,3
reclass from NYS Sy81 C3865;,3
reclass from L.I. So87 R5485;,3
reclass from;,3
reclass from vit. rec. nys schenectady co.;,3
reclass from Vit. Rec. NYS Ossining;,3
Reclass from Box 10;,3
reclass from L.I. B79 B7915 1880;,3
Reclass from Vit Rec NYS Stamford;,3
Reclass from Vit Rec NYS South Ticonderoga;,3
reclass from new books box 3;,3
reclass from NYS W522 Sm585;,3
reclass from NJ G5182 St493;,3
reclass from Am. Rev. St415;,3
reclass from Vit. Rec. NYS Madison Co.;,3
reclass from NYS H7895;,3
reclass from NJ H8763 V2608;,3
reclass from geneal. Sm185u;,3
reclass from NYS AL135 AL135cou;,3
Reclass from HE5784.N58 C65p 1861;,3
reclass from BX7131 .P86 1865-67;,3
reclass from Black Hist. D8525c;,3
reclass from Vit. Rec. NJ Upper Springfield;,3
Reclass from Vit Rec NYS Westchester Co.;,3
reclass from Fol. Arts D7 So595;,3
Reclass from Geneal. Ind. Un355 1972;,3
reclass from Vit. Rec. CT Stamford;,3
reclass from PZ3.B43 1867b;,3
reclass from NYS W52 C8985 3rdEd;,3
reclass from NYS B8305;,3
reclass from Geneal. Coll. Sa925;,3
Do not print;,3
reclass from Vit Rec NYS Catskill;,3
reclass from Vital Statistics;,3
reclass from NYS W522 G8755;,3
Reclass from Vit Rec NYS Schaghticoke;,3
Reclass from Vit Rec NYS Rensselaer Co.;,3
Reclass from Amer. Rev. L5 F6415;,3
reclass from Vit. Rec. L.I. New Utrecht;,3
reclass from Vit Rec PA Montgomery Co.;,3
reclass from Vit. Rec. NJ Cranbury;,3
reclass from L.I. St325;,3
reclass from NJ P2733 N3385s;,3
reclass from new books box 5;,3
reclass from vit. rec. nys s.i.;,3
reclass from Arts A3 St965d;,3
reclass from E475.53.N58;,3
Reclass from L. I.;,3
Reclass from PZ3 .B979 Fro;,3
reclass from geneal. H;,3
reclass from Vit. Rec. NYS Lake Mahopac;,3
Reclass from Folio - NYC;,3
