,4
Reclass from Vault D3257;,1
reclass from Bklyn p.v.5 no.15;,1
Reclass from Vit Rec NYS South Highlands;,1
reclass from CS71 .C15 1906;,1
Reclass from CS71 Z12 1881;,1
reclass from Geneal. H1845wp;,1
Reclass from Geneal. B2254b;,1
reclass from geneal. W1325ws;,1
Reclass from Geneal. St481s;,1
Reclass from Geneal. Coll. H5885 v.2;,1
reclass from spec coll geneal St251h;,1
reclass from Vit Rec NYS Barryville;,1
Reclass from Am Rev P3185;,1
Reclass from CS71 .W616 1875;,1
Reclass from Geneal. C5475ch v.2;,1
reclass from NYC OL18;,1
Reclass from LI G1145;,1
Reclass from NYS P861 B7255;,1
reclass from Geneal. P7595po;,1
reclass from NJ Su8203 St5105a;,1
Reclass from CS71.M572 1987;,1
reclass from bl615.b3 1877;,1
reclass from NYS K575 K5755;,1
Reclass from Geneal. W6613w;,1
Reclass from CS71.P625 1928;,1
Reclass from Geneal B8125b;,1
Reclass from NYS B32 H8775;,1
Reclass from Geneal. H1272hr;,1
Reclass from Black Hist. E185 .F825 1967;,1
Reclass TH7421 P9;,1
reclass from bv2060.s76 1895;,1
Reclass from Folio Vault M3495m;,1
reclass from NJ H2285 L9415;,1
Reclass from CS71 .S579 1857;,1
reclass from L.I. B11 B1195;,1
Reclass from L.I. P33 Ov25;,1
reclass from NJ J1864;,1
Reclass from NYS So19 C7715;,1
reclass from PZ3.B662 Fiv;,1
Reclass from Brooklyn;,1
Reclass from NYS D23 W2125;,1
Reclass TS1115.G7;,1
reclass from Vit. Rec. NYS Goshen;,1
Reclass from NYS Ea72 P7515;,1
reclass from NYC N4205 A75;,1
Reclass from NYS R76 W4345;,1
Reclass from U790.W56;,1
Reclass from Geneal. Si125w;,1
Reclass from NYS F778 G8345 1915;,1
Reclass from Upstairs Fol. F128.37 .K56 1903;,1
Reclass from Geneal. Coll. H1825 v.2;,1
Reclass from NYCP2735h;,1
Reclass from Vit Rec NYS Saugerties;,1
reclass from NJ Or1002 F5195m;,1
Reclass from NYC H8935;,1
Reclass from NYS R29 Sy575;,1
Reclass from Geneal. St7685f;,1
Reclass from NYC T6415;,1
Reclass from NYS B86 K7485;,1
reclass from Black Hist. So685;,1
reclass from NJ M8346 Su722;,1
reclass from Spec. Coll. R/A H7525;,1
Reclass from PN6101.D38 1929;,1
reclass from R/A E235.C14 1781;,1
Reclass from Geneal. Hutchins;,1
Reclass from Geneal. Sh584L;,1
Reclass from Geneal. B2435c;,1
reclass from CS71 C18 1916;,1
reclass from NYS Og2 So895;,1
Reclass from CS71 .W29 1903;,1
reclass from E184.P85 F56;,1
reclass from geneal. P3165;,1
Reclass from L.I. So88 C2665;,1
reclass from NYC M5675;,1
Reclass from Geneal. B8217f;,1
reclass from geneal. P2975p;,1
reclass from Vit Rec NYS Beekman;,1
reclass from ce35 .s58 1863;,1
reclass from NYS R666 R6665;,1
reclass from geneal. J7103jme 3rd ed.;,1
reclass from PZ3.C355 Mys;,1
Reclass from CS71.B336 1900;,1
Reclass from LI H92 H9215 index;,1
reclass from PZ3.S89 Unc 1882;,1
reclass from Staff ref;,1
Reclass from PZ3 .B934 His;,1
reclass from PZ3.H113 Scr;,1
Reclass from NYS Sk14 L5655h;,1
Reclass from NYC B8123;,1
Reclass from L.I. So88 So889;,1
reclass from Closed Stack NYS DC15 1849 v.3;,1
Reclass from NYC Si587;,1
reclass from geneal. V1935ad;,1
Reclass from Vault W2775c 1807 GW;,1
reclass from L.I.H37 H3785;,1
reclass from Arts D9 R5415;,1
Reclass from Geneal. Sch325g;,1
Reclass from QL78.5.S43p 1953;,1
reclass from R/A G125.W43 1815;,1
Reclass from Am Rev P4815;,1
Reclass from PN6101.E43 1869;,1
reclass from Arts B5 M2925t;,1
reclass from LI Sa99 Ed965;,1
Reclass from NYS R58 H6295i;,1
reclass from Vit. Rec. NYS North Hudson;,1
Reclass from Vault Sa225;,1
reclass from Geneal. St899w;,1
Reclass from NYS Ot7 B1325;,1
Reclass from Vault T1675;,1
Reclass from NYS R297 L1295v;,1
Reclass from CS71 .S152 1988;,1
reclass from NJ N4203 R9326;,1
Reclass from MYS W14 F5195;,1
reclass from geneal. P8335paa;,1
Reclass from Fol. Arts D4 C7395;,1
reclass from Geneal. B8122f;,1
reclass vital records nyc;,1
Reclass from HE4491.N582 R46 1853;,1
Reclass from CS71.B28 1911;,1
Reclass from Vault Ar385;,1
reclass from ref tg25.n53 m32;,1
reclass from Fol. CT275.B774 F67 1902;,1
Reclass Z7164.C8 R6;,1
Reclass from R/A G5 1863;,1
reclass from NYS W27 W2765;,1
reclass from CS71.C23 1903;,1
Reclass from Am Rev B2845;,1
Reclass from Geneal. St719nh;,1
reclass from PZ3.C355 Ail;,1
Reclass from Box 4 R/A PQ1993.L65 A72 1801;,1
Reclass from SB473.H53;,1
reclass from PZ3.B729 Cor;,1
Reclass from NYC D3375;,1
reclass from CS71.T554 1988;,1
reclass from Arts D3 B6285;,1
Reclass from Fol. PN4784.E28 C43 1963;,1
Reclass from NYS W31 F4825;,1
reclass from geneal AL531b 1896;,1
Reclass from Vault Iz15;,1
reclass from Vit. Rec. NYS Marcellus;,1
reclass from Vit Rec NYS Chemung;,1
Reclass from Ref JK1010.A5 1989;,1
Reclass from Geneal. So465s;,1
Reclass from TD225.B76 D39 1859 c.2;,1
Reclass from Geneal. Sh723sf 1919;,1
reclass from Vit Rec CT Greenfield Hills;,1
Reclass from Arts A4 L4935;,1
Reclass from Geneal. Sh533d;,1
Reclass from NYC P3475;,1
Reclass from Vit Rec NYS Hillsdale;,1
Reclass from NYC V2635;,1
Reclass from Geneal. P2199gn;,1
reclass from geneal. W1253k;,1
reclass from Vit Rec NYS Baemertown;,1
reclass from Arts B5 OL55o;,1
Reclass from US Col. Hist. W5555t;,1
Reclass from NYS F19 D9395;,1
Reclass from NYS It3 B9375;,1
Reclass from PN6101 .M464 1830;,1
reclass from TH148 .K3;,1
Reclass from Ref. Un35ge;,1
Reclass from Geneal. AL536a;,1
Reclass from Am Rev Ar645;,1
Reclass from NYS Or5 T3615;,1
Reclass from NYS C35 R7335;,1
Reclass from NJ C5482;,1
Reclass from NYS Sch63 Si485;,1
Reclass from Queens F2205;,1
reclass from NYC N3375;,1
Reclass from Vit Rec NYS Tioga Co.;,1
reclass from Geneal. CS271.C277 1897;,1
reclass from spec coll he5784.n5 n58 1822;,1
Reclass from NYC J6435;,1
reclass from Queens W2195;,1
Reclass from NJ N4225 B3218;,1
Reclass from Vault N848 Box 11;,1
Reclass from Black Hist. Os15;,1
Reclass from NYS D95 Ac575;,1
reclass from bv4275.m87 1850;,1
Reclass from Geneal. Sp621sj;,1
reclass from Geneal. B28419b;,1
Reclass from Geneal. OL655gc;,1
reclass from Geneal. Sch142s;,1
reclass from NJ V7506 An2605t;,1
Reclass PZ3.T691 Inv;,1
reclass from Geneal. AL858a;,1
reclass from PZ3.C355 Iol;,1
Reclass from Geneal. W1556b;,1
reclass from NYS K3955;,1
reclass from NYS C1355;,1
Reclass from CS71.C541 1904;,1
reclass from PZ3.H113 Who;,1
reclass from Geneal. Si585w;,1
reclass from NYS J35 H1175;,1
Reclass from NYS M57 B9125;,1
reclass from geneal. As347a;,1
reclass from NYS H99 R6775;,1
Reclass from NYC W8405;,1
Reclass from NYS An72 L5875;,1
reclass from black hist G9635;,1
reclass from Vit. Rec. NJ Orange;,1
Reclass from Fol. F129.B7 S79 1884;,1
reclass from geneal. P1825pra;,1
reclass from BM225.B7 T46;,1
Reclass from Am Rev N4203;,1
reclass from NYC G3877b;,1
Reclass from NYS P837 T2145;,1
reclass from BX810.c87 C36 1944;,1
Reclass from Geneal. H1655hje;,1
reclass from NYS H37 W1345;,1
Reclass from Folio NYS W585 W5855;,1
Reclass from NYC R6316;,1
Reclass from Geneal. Ay247a;,1
reclass from NJ N4206 B1895;,1
Reclass from NYC D2925;,1
reclass from NYS P18 C7735;,1
Reclass from Geneal. Coll. M4535 v.2;,1
Reclass from Geneal B8198br;,1
Reclass from Ref Un35im;,1
Reclass from NJ T2566 Sy6503;,1
reclass from NJ T7243 St8980;,1
reclass from NYS Westchester Co.;,1
Reclass from Geneal. SL197s;,1
Reclass from Vault W1445;,1
Reclass from Ref. BR563.5.N4 C48p 1985;,1
reclass from NYC M5515;,1
Reclass from R/A B3525;,1
Reclass from Geneal. Coll. Sa345 v.1 pt.2;,1
Reclass from Geneal. W1557re;,1
Reclass from PZ3 .G387 Aut;,1
reclass from NJ EL488 F5194;,1
reclass from NYS C29 B7235;,1
reclass from NYS H1655e;,1
reclass from Geneal. W1687ma;,1
Reclass from Ref F129.B7 L32;,1
Reclass from L I R59 B2945;,1
reclass from NYC So875wv;,1
Reclass from Upstairs CT275.B43425 A4 1844;,1
Reclass from CS71.C177 1979;,1
Reclass from NYS F53 D3445;,1
reclass from PZ3.T834 Kidf;,1
Reclass from Geneal. Sm555i;,1
Reclass from CS71 .S8382 1907a;,1
Reclass from Fol. NX26.B76 1970;,1
Reclass from PZ3.B38 Mo;,1
Reclass from Geneal. P4205p;,1
Reclass CS71.C317 1993;,1
reclass from Arts B5 M7935s;,1
Reclass from NYS Or1 M7235;,1
reclass from geneal. P2775g;,1
Reclass from NJ At633 Eu366;,1
reclass from NYC N4205 C385;,1
reclass from geneal. An863a;,1
Reclass from NYS W528 R8135;,1
reclass from NYS K9295b;,1
Reclass from CS71.C443 1897;,1
Reclass from NYC D8525;,1
reclass from Geneal. Am367a;,1
Reclass from CS71 .W616 1875a;,1
Reclass from CS71.C332 1874;,1
Reclass from Geneal. An864a;,1
reclass from NJ P2733 Sa2407;,1
reclass from geneal. b21254b;,1
Reclass from NJ P2504 B2102;,1
reclass from NYS M5844 Se365;,1
reclass from Arts D2 M668;,1
reclass from black hist J7125;,1
Reclass from BX7255.B76 P591;,1
reclass from geneal. H1705h;,1
Reclass from TS886.5.C45 B87 1978;,1
reclass from Geneal. B1515b;,1
reclass from Vit Rec Southern States;,1
Reclass from NJ SM652;,1
Reclass from Geneal. Sp721s;,1
Reclass from NJ L5116g v.2;,1
Reclass from NYC M4465;,1
Reclass from KFX2003.A4 W55 1838;,1
Reclass from Geneal. St673cg;,1
Reclass from PZ3.R217 Man 1890;,1
reclass from Geneal. Sn615Lw;,1
Reclass from CS71 .W616 1885;,1
Reclass from NYS C21 F8125;,1
reclass from E184.S2 J6;,1
Reclass from Geneal. Guides F5783;,1
reclass from Queens T6285;,1
Reclass from Geneal B8138wh;,1
reclass from R/A KFN5752 .A3 1849b;,1
reclass from upstairs;,1
reclass from NYS J2805 1st series;,1
Reclass from CS71.C332 1920 v.1;,1
reclass from Fol. PN6101.H93 1892;,1
Reclass from Black Hist. J7675;,1
Reclass from LI R1895;,1
reclass from bl60.h8 1860;,1
reclass from Fol. CS47.B76 1986 c.2;,1
reclass from FOL NYC N5105;,1
Reclass from NYS Sa725 M6245;,1
reclass from NJ N4206cc;,1
Reclass from NYC 1832;,1
reclass from NJ H2275 St823;,1
reclass from NYS On26 H1915;,1
reclass from PZ3.C736 N;,1
Reclass from Geneal. Coll. M1995 v.6;,1
reclass from NYS T75 J9235;,1
reclass from Vit. Rec. NJ Bergen Co.;,1
Reclass from NYC W8995;,1
Reclass from NYC Su715wb 6th ed.;,1
Reclass from L.I. L5858;,1
reclass from Vit. Rec. NYS Patterson;,1
Reclass from NJ F8763 Sm584;,1
reclass from PZ3.B674 Bu;,1
Reclass from NYS T78 M6685;,1
Reclass from KFX1161.A6 1895;,1
Reclass from GV4987.57 R55;,1
Reclass from NYS F775 D3385;,1
Reclass from Z695.5.F3;,1
reclass from NYS L72 N6445;,1
Reclass from Black Hist. B561h;,1
reclass from u.s. col. hist. L9535f;,1
reclass from CS71.G4748 1976;,1
Reclass from NJ J4863 F5197;,1
reclass from Vit Rec NYS Delaware Co;,1
Reclass from NJ G1562;,1
reclass from Geneal. W1723wb;,1
reclass from E184.S2 R9 1941;,1
Reclass from NYS L29 L2915;,1
Reclass from Fol. Arts D3 EL585;,1
Reclass from Geneal. Sh555a;,1
reclass from Vit Rec VA Frederick CO.;,1
reclass from Arts B5 OL55o v.2;,1
reclass from NYS F5975c;,1
Reclass from NYC W8885s;,1
Reclass from CS71.B336 1922;,1
reclass from geneal. St796c;,1
reclass from NYS H87 B1325 map;,1
reclass from NYC Sch395;,1
reclass from L.I. B79 B7915 1924;,1
reclass from CS71 .C275 1880;,1
reclass from NJ R2275 R2595;,1
Reclass from PZ3 .N337 Bro;,1
Reclass from Geneal. St293s;,1
reclass from geneal. W1197b;,1
reclass from n5020.b76 g73 1902;,1
Reclass from Geneal. Coll. W4345;,1
Reclass from Am Rev L5 Si155r;,1
Reclass from PZ3 .B934 Gio;,1
Reclass from US Col. Hist. L6455;,1
reclass from geneal. B1932bm;,1
Reclass from Geneal. P1215c;,1
reclass from NYS W36 A1145;,1
reclass from Queens R6775;,1
Reclass from Geneal. P2775pr;,1
Reclass from TS549.A57 1901a;,1
reclass from Am. Rev. W7325;,1
Reclass from NYS Sp12 C6335m;,1
Reclass from LI K8932;,1
Reclass from TG25.N53 C677p 1983;,1
Reclass from CS71 .S3245 1987;,1
reclass from NYS C81251;,1
reclass from Vault St465a;,1
reclass from geneal. W6755a;,1
Reclass from Geneal. Coll. Sa925 1965 v.3;,1
Reclass from Geneal. Sm646sm;,1
reclass from Vit. Rec. NYS Oxford;,1
REclass CT275.C63 C65;,1
reclass from Vit. Rec. NYS Pleasantville;,1
Reclass from Genealogy F;,1
reclass from NYS B2335;,1
reclass from Arts B5 P3135p;,1
Reclass from NYS F22 K1565;,1
reclass from PZ3.B729 Adv;,1
Reclass from NYC Si645s;,1
Reclass from Geneal. P6615ph;,1
Reclass from FOL NYC G8715;,1
Reclass from NYS C72 C4365;,1
reclass from Geneal. P2505pc;,1
Reclass from Geneal. W1559wa;,1
Reclass from Geneal. Guides Y8765;,1
reclass from NJ M7643 W3274;,1
Reclass from NYC K7406;,1
Reclass from NYC T6903;,1
Reclass from Ref NA7238.B7 J86 1961;,1
reclass from Vit. Rec. NYS New Berlin;,1
reclass from PZ3 .F753 Ho;,1
Reclass from NYS C297 Ad195;,1
reclass from CS71 .C323 1883;,1
reclass from NYS Or1 H6295;,1
reclass from NJ Or1002 Y3205;,1
Reclass from Geneal. Coll. Ar585 v.1;,1
Reclass from PZ3 .B934 Haw;,1
Reclass from JS644.A3p 1895;,1
reclass from PZ3.C355 Qui;,1
reclass from Ref. F129.B7 H35 1886 c.2;,1
Reclass from CT251.B76 P65 1917;,1
reclass from geneal. Ab334a;,1
reclass from L.I. B76 B7645;,1
reclass from geneal. P8725ahp;,1
reclass from Geneal. B3441b;,1
Reclass from Vault B8152g;,1
reclass from BF1611 .W55 1852;,1
Reclass from NJ N4203 G7624;,1
reclass from Vit. Rec. NYS Gloucester;,1
Reclass from Vault M7425 1596;,1
Reclass from Geneal. Coll. Se835a v.1;,1
reclass from BX5980.B7 S3 1890;,1
Reclass from TJ315.B2 A4;,1
reclass from Vital Records NYS;,1
Reclass from Black Hist. M2275b;,1
reclass from NYC H3145;,1
reclass from L.I. K9395;,1
Reclass from HG2557.K56p 1882;,1
Reclass from Vault H1805 v.1 no.2;,1
Reclass from CS71.R93335 1974;,1
reclass from L.I. B8635;,1
reclass from NYS P8302 P8302;,1
Reclass from NE1012.B7 B7 C65 1931;,1
Reclass from Upstairs HS539 .B76 M37 1900;,1
reclass from R/A DA538.A22 P47 1813;,1
Reclass from Am Rev L5 L9565;,1
Reclass Z232.M56 M4;,1
Reclass from NYS F76 D1315;,1
Reclass from Geneal. Bl1537b;,1
Reclass from PZ3 .D28 Sm;,1
reclass from geneal. As345a;,1
Reclass from Geneal. Guides R5625;,1
Reclass from Geneal. H1305j;,1
reclass from NJ En358 B6442;,1
reclass from NJ Sp2702 C3554;,1
Reclass from Geneal P3165d;,1
Reclass from Geneal B28420;,1
Reclass from E255.M45;,1
Reclass from Geneal. C5490s;,1
Reclass from Geneal. Coll. W4345 1979;,1
Reclass from Vault C7373;,1
reclass from ref gv1851 .m3;,1
reclass from NYS Ir8 Im055;,1
Reclass from Upstairs KFX1161 .A6 1863;,1
reclass from NJ H1157 H7192 Vol.1 Part2;,1
Reclass from Geneal. P4295s;,1
Reclass from Vault Sp255;,1
reclass from NYS AL265p;,1
Reclass from TG25.N53 B76p 1883;,1
Reclass from CT275.C675 A3;,1
reclass from PZ3.T478 Tem;,1
reclass from bklyn b5 box 2;,1
reclass from NJ EL488 H2844;,1
reclass from PZ3.H2425 Ro;,1
reclass from NYS L9945;,1
reclass from black hist Sp665d;,1
Reclass from HE4491.N582 C65p 1978;,1
Reclass from NYS T43 M8535;,1
reclass from NYS W31 M7575;,1
reclass from Geneal. P3345hk;,1
Reclass from PZ3.S6433 Tre 1943;,1
Reclass from CS71.C462 1908;,1
Reclass from S I Ar755;,1
Reclass from NYS D95 C7365;,1
reclass from CS71 C23 1957;,1
Reclass from NYS K618 H5885;,1
reclass from NJ G3172 G3172g;,1
Reclass from R/A N4203c;,1
reclass from Vit Rec NYS Alcove;,1
Reclass from Vault C2645cs;,1
reclass from TH4819.P7L8 1988;,1
reclass from L.I.G16 G1675;,1
reclass from Queens C313v;,1
reclass from Vit Rec MA Auburn;,1
Reclass from F128.65.P76 N58 1961 c.2;,1
Reclass from Conserv. Box C HD7304.B8 G4;,1
reclass from Geneal. Sp714w;,1
reclass from Geneal. B8140b;,1
reclass from geneal. P1615s;,1
Reclass from Upstairs BX7255.B87 1960;,1
Reclass from Geneal. P4195pwt;,1
reclass from Z6201.K8;,1
Reclass from CS71.H63 1909;,1
Reclass from Geneal. AL531ad pt.4;,1
reclass from Geneal. B3531b;,1
reclass from NJ N4225 F6795;,1
reclass from NYC So255;,1
Reclass from R/A B4355gva;,1
Reclass from Vault C6205;,1
reclass from Geneal. P2185p;,1
reclass from geneal AL531wna;,1
reclass from NJ C8503 Sy655;,1
Reclass from CS71.C466 1876;,1
reclass from L.I. AL725;,1
reclass from L.I.H92 D2845;,1
Reclass from Geneal. Ind. J1597b;,1
Reclass from NYC M1375;,1
Reclass from NYC 4498r;,1
reclass from Arts B5 J2985d;,1
Reclass from NJ B6301 vol.2;,1
Reclass from Geneal. si365d;,1
reclass from NYS T75 T7595s;,1
Reclass from BX4603.B76 B44 1886 c.2;,1
reclass from geneal. F?;,1
reclass from geneal. Ar641ba;,1
Reclass from NYS Y80 H1415 1925;,1
reclass from NJ EL488 K2874;,1
Reclass from PZ3 .C178 Sto;,1
reclass from Geneal. St112g;,1
Reclass fromGeneal. Sh614sje;,1
Reclass from PZ3.B291 Po;,1
Reclass from PZ3 .N337 Idle;,1
Reclass fromNYS T75 F5195;,1
Reclass from NYS W519 D7255;,1
Reclass from Black Hist. G6195;,1
Reclass from NYS Es7 Em585;,1
reclass from L.I. F7305;,1
Reclass from NYS On6 B3815;,1
reclass from CT275.H844 A2 1910;,1
reclass from NJ R9334 B8725;,1
Reclass from Vault C2645cd;,1
Reclass from Vault B3805;,1
reclass from Am185c;,1
reclass from NYC J2315;,1
reclass from NYS N813 G9435;,1
Reclass from Census NewYork 1830;,1
reclass from geneal. B1932bc;,1
Reclass from NJ EL488 W5874;,1
Reclass from PZ3.B439 Har;,1
reclass from Arts B5 H8135h;,1
Reclass from Box 17;,1
reclass from Vit Rec GA Augusta;,1
reclass from Vit. Rec. NYS New Rhinebeck;,1
reclass from E263.N5 N55;,1
Reclass from NYC J2695i;,1
reclass from Am. Rev. P1755;,1
Reclass from Geneal. P1615o;,1
reclass from NJ P9357 B9632;,1
Reclass from PZ3 .L71 Onl;,1
Reclass from Geneal. Guides D7955;,1
Reclass from Staf Ref. Geneal. Ind. Un355;,1
Reclass from NA7860.A88p 1880;,1
Reclass from Geneal. Sh644b;,1
reclass from NJ W5264 Ed3303;,1
Reclass from NYS H87 O675;,1
Reclass from Geneal. H1845h;,1
Reclass from Geneal. W1345cb;,1
reclass from CS71.S8382 1901;,1
reclass from Vit Rec Boght;,1
Reclass from RA643.6.N58 B76p 1885;,1
reclass from Geneal. B3181b;,1
reclass from CS71.C260 1917;,1
reclass from Geneal. P9265r;,1
reclass from bx7255.b7 n49 1859;,1
Reclass from Arts D1 L6645;,1
Reclass from NYS B86 Ev155;,1
reclass from Arts D1 V2445;,1
Reclass from NYS W269 H3545;,1
reclass from NJ W5557 Un35w;,1
Reclass from NYS F29 W6685;,1
reclass from Am. Rev. L5 B8305;,1
reclass from Arts D7 C9435;,1
reclass from geneal. P9395g;,1
Reclass from Geneal. H1894d;,1
reclass from CS71.P45 1953;,1
reclass from Arts B5 F9595d;,1
reclass from geneal. Op355v Suppl.;,1
Reclass from CS71.B28 1989;,1
reclass from NJ P6975b;,1
Reclass from Geneal. AL274aw;,1
reclass from geneal. H1805g;,1
reclass from cs71 c19 1921;,1
Reclass from Vault F4485;,1
reclass from geneal. An868a;,1
Reclass from NYC Se165;,1
reclass from black hist Sa975;,1
Reclass from Geneal. W1543f;,1
Reclass from NYS Sch63 B3925s;,1
Reclass from Census Kentucky 1800;,1
reclass from HG2613.B764 H36 1932;,1
reclass from Arts P4 Sh555e;,1
Reclass from Arts B5 C3665c;,1
reclass from Folio NJ H6535 St47 c.2;,1
Reclass from Geneal. Ad171aw on card.;,1
reclass from Vit. Rec. CT Warren;,1
reclass from Arts B5 P3635w;,1
Reclass from Geneal. P3165b;,1
Reclass from Fol. Arts A4 H7275;,1
reclass from NYS H435 H2195;,1
reclass from Fol. JK2229 .R47 1850;,1
reclass from PZ3.H113 Wor;,1
Reclass from CS71 .P6999 1985;,1
Reclass from NYC Or15;,1
Reclass from Black Hist. P6355;,1
Reclass from NYS G28 C7765;,1
reclass from Vit Rec CT Norwich;,1
Reclass from NJ At634 At634h;,1
reclass from Arts D7 D8155;,1
Reclass from NYS Sch89 B5205;,1
Reclass from Arts A4 B1735;,1
Reclass from Geneal P2935g;,1
reclass from black hist W8615e;,1
Reclass from L I Sm69 T8665;,1
Reclass from Arts B5 F9595p;,1
reclass from NJ L5848s;,1
reclass from PN6101.H66 1848;,1
Reclass from NYS N428 R9385n;,1
Reclass from CS71 .S515 1987;,1
reclass from Black Hist. F636w;,1
reclass from NJ D89 A79;,1
Reclass from Census Conn 1790;,1
Reclass from Geneal. Sm675s;,1
Reclass from Box 4 R/A JK3405.C66 1822;,1
Reclass from NYS W522 C8155;,1
Reclass from NYS C39 M8265;,1
Reclass from Geneal. Sp663s;,1
Reclass from PN6101 .V36 1909;,1
reclass from r/a tj825.j6 w5 1856;,1
Reclass from NYS C29 P6515;,1
Reclass from TC625.D25 W3;,1
reclass from NJ D7518 P6975d;,1
Reclass from Geneal. H1586hwp;,1
reclass from Vit Rec NYS Scarlesdale;,1
reclass from FOL NYC V7115;,1
Reclass from NYS Sa32 W6765;,1
Reclass from F128.7 .G64;,1
reclass from NJ N2282 AL517;,1
reclass from NJ N4203 W1545m;,1
reclass from Vit. Rec. NJ Wyckoff;,1
Reclass from NYC As787;,1
reclass from NYC As785;,1
reclass from NYS Or1 V2665;,1
reclass from Geneal. So895sch;,1
Reclass from Am Rev F6885;,1
Reclass from NYS R66 W1345;,1
reclass from Vit. Rec. NYS Mekeels Corners;,1
Reclass from CS71.C515 1882;,1
reclass from closed stack Ref F129 .B7S79 1867;,1
reclass from Arts P4 B4125;,1
reclass from NYS R34 Sm555a;,1
Reclass from Geneal. Sm723s;,1
reclass from Geneal. Sk335s Suppl.;,1
Reclass from NYS K618 D5175;,1
Reclass from CS71.C526 1881;,1
Reclass from Am Rev EL545;,1
Reclass from Geneal. P4305p;,1
Reclass from Geneal. W1557cr;,1
Reclass from Geneal C5480c;,1
Reclass from Geneal B1145w;,1
Reclass from Black Hist. W4185;,1
reclass from NYS AL13 AL135fl;,1
Reclass from Vault H7345s;,1
Reclass from NYS B86 M6995;,1
reclass from Am. Rev. B4735;,1
Reclass from HQ792.G7 M5;,1
reclass from Arts G5 C2345 1968;,1
reclass from black hist K9605;,1
reclass from NYS F6415hi vol.2;,1
Reclass from Vault H1805 v.2 no.5;,1
reclass from Geneal.J7188j;,1
Reclass from Geneal. Coll. W6185s;,1
reclass from PS595.B75p 1888;,1
reclass from NA6243.B7 W5 W55p c.2;,1
reclass from NYS AL13 AL135sap 1916;,1
reclass from Geneal. B1895w;,1
reclass from PZ3.C5487 Whi;,1
reclass from Folio Vault P3845;,1
Reclass from PZ7.B76 1956;,1
reclass from Vit. Rec. NYS Jefferson Valley;,1
Reclass from Geneal. Ac572a on card.;,1
Reclass from US Col. Hist. H9125;,1
reclass from CS71.S38 1903;,1
Reclass from NYS Sca77 H1985;,1
reclass from Am. Rev. O5 B6155;,1
Reclass from CS71.H63 1894;,1
Reclass from NYS N512 Iz105;,1
reclass from Geneal. H's;,1
Reclass from NYS Y80 At535y;,1
Reclass from Black Hist. M1135be;,1
Reclass from PZ3 .N794 Ce;,1
reclass from PZ3.H246 Sai;,1
Reclass from Geneal B2252d;,1
Reclass from F2161.W5;,1
Reclass from R/A G3125;,1
Reclass from Vit Rec NYS Steuben Co.;,1
Reclass from Geneal. St328r;,1
reclass from u.s. col. hist. J3595;,1
Reclass from NJ H2415;,1
Reclass from Geneal. P9495ep;,1
reclass from Black hist Un35w;,1
reclass from Geneal. B3188b;,1
Reclass from NYS On2 W1235;,1
reclass from geneal. Av371c;,1
Reclass from Geneal. St535st;,1
Reclass from Geneal. G8895b;,1
Reclass from Vault R1245;,1
Reclass from PZ3 .L2206 Se;,1
reclass from NYC R2513;,1
Reclass from CS71.L787 1949;,1
Reclass from N6502.E37 1966;,1
Reclass from Geneal. Coll. C7184 v.1;,1
Reclass from CS71 .S8283 1983 c. 2;,1
reclass from Geneal. St211s;,1
Reclass from Geneal. P8715csp;,1
Reclass from Upstairs CT275.B4343 A2 1859c;,1
reclass from NJ N4225 G8755;,1
Reclass from Geneal B1325b;,1
Reclass from R/A W1475;,1
reclass from Geneal. St2866h;,1
Reclass from NYS R28 R5435;,1
Reclass from Arts D1 N6225;,1
Reclass T21 S26;,1
Reclass from Exhibition Box 1 R/A D4975m;,1
Reclass from NYS N4209 R9385;,1
reclass from NYS AL13 AL135sa;,1
Reclass from HT168.B76 G65 1997;,1
Reclass from NYC C1275;,1
reclass from Arts D9 H8765;,1
Reclass from Vault W8515;,1
reclass from Geneal. Sch6255a;,1
Reclass from PZ3 .L968 Un;,1
reclass from Geneal. St795c;,1
Reclass from NYS Ut3 Sa945;,1
reclass from NJ J4863 W7273m;,1
reclass from Am. Rev. W3855;,1
Reclass from PZ3.S226 Ea;,1
Reclass from Vit Rec NYS White Plains;,1
Reclass from Geneal. P8535m;,1
Reclass from Geneal. C5552c 1902 Special Ed.;,1
Reclass from CS71.C512 1848;,1
Reclass from GV875.B7 S65;,1
reclass from Geneal. B2418f;,1
Reclass from NYS C39 M2275;,1
Reclass from E281 .R66 1839;,1
Reclass from NJ T7243 R1928;,1
Reclass from Geneal. Ad843b;,1
Reclass from NYS T75 B8615;,1
reclas from fol. vault R2295;,1
Reclass from Geneal. AL531ao 1st series;,1
reclass from Vit Rec KY Pulaski Co.;,1
reclass from AM148 .K4;,1
Reclass from NYS M766 F9375;,1
Reclass from E263.N5 C2;,1
Reclass from Geneal. Sm685sm;,1
Reclass fromNYC L5215;,1
Reclass from Queens Q315;,1
Reclass from F129.W75 R4 1852;,1
reclass from Am. Rev. L;,1
Reclass from Geneal. P8575ptm;,1
Reclass from Geneal. St471hf;,1
reclass from NYS D7115 1968;,1
reclass from Vit. Rec. NJ Mt. Salem;,1
Reclass from BX9531.G8 S8;,1
Reclass from CS71.C365 1882;,1
reclass from newbooks box 8;,1
reclass from PZ3.B729 Thr;,1
reclass from Vit Rec NYS Bloomingrove;,1
reclass from geneal. Av376a;,1
