,j
D.P.W.-1:24000 (Central Islip Quad).R,1
ARC.135,1
ARC.235,1
ARC.062,1
1974.016,1
L.I.-[195-?]b.Fl,1
ARC.231,1
B A-[1848?].Fl,1
1985.050,1
Q-1805.Fl,1
B P-[18--?]b.Fl,1
PAMP Dickey-1,1
1978.031,1
PAMP ConwayTW-1,1
PAMP Rantoul-1,1
Rev. War-1776 (1861).Fl,1
PAMP Browne-1,1
PAMP Weld-1,1
NYS-1937a.Fl,1
NYC-1776.Fl.RA,1
IPOF F128.44.S33 2005,1
PAMP Unanimous-1,1
B A-1867.Fl,1
PAMP CareyHC-1,1
Bergen-1892f.Fl,1
1974.218,1
B P-1863.Fl,1
L.I.-[184-?].Fl,1
Q-1834 (1849?).Fl.O,1
B A-[19--?]a.Fl,1
PAMP ParkerT-3,1
1977.617,1
"D.P.W.-1:24,000 (Southold Quad).R",1
B A-1881a.Folded,1
Bergen-1890a.Fl,1
V1988.034,1
PAMP PetersonDH-1,1
PAMP RI-1,1
B A-1971.Fl,1
U.S.C.S.-8.Fl,1
Q-1908.A.F vol. 2,1
B A-1859 (19--?).Fl,1
1973.286,1
1977.411,1
Bergen-[1875].Fl,1
PAMP Boutwell-3,1
PAMP RossAM-1,1
V1974.042,1
Bergen-1866b.Fl,1
Bergen-[189-?]b.Fl,1
L.I.-[18--?]a.Fd.RA,1
PAMP Giddings-3,1
N.J. 1776 (1977).Fl,1
PAMP PackardC-1,1
P-1870 (1942).Fl c.2,1
PAMP Shedd-1,1
L.I.-[1886?].Fl,1
B A-1850 (19--?).Fl,1
L.I.-1948a.Fl,1
PAMP Letter-1,1
ARC.099,1
Nautical Chart-12334.Fl.Folio,1
1977.444,1
1977.294,1
1979.015,1
U.S.C.S.-118.Fl.F,1
1985.475,1
Rev. War-1776 (1859).Fl,1
B A-1961.Fl,1
L.I.-[1951?].Fl,1
1985.053,1
IPOF PN4882.5.F74 1986,1
1977.082,1
ARC.186,1
L.I.-[1932]a.Fd,1
V1974.023,1
1991.048,1
PAMP Bartlett-1,1
L.I.-1870 (1943).Fl,1
PAMP RockwoodSL-1,1
1977.030,1
PAMP Allen-1,1
B P-[183-?].Fl.Folio c.3,1
